,avg_word_length,TTR,average_sentence_length,FK_Score,complexity
0,4.993091537132988,0.6113989637305699,23.16,55.47,easy
1,5.127403846153846,0.5961538461538461,18.08695652173913,59.84,easy
2,4.776729559748428,0.5235849056603774,27.652173913043477,49.38,easy
3,4.8370273794002605,0.5371577574967406,19.175,59.53,easy
4,5.092592592592593,0.6975308641975309,18.0,56.59,easy
5,4.851503759398496,0.6052631578947368,23.130434782608695,54.56,easy
6,4.840816326530613,0.5510204081632653,22.272727272727273,62.92,easy
7,4.816964285714286,0.6696428571428571,16.0,69.52,easy
8,4.899581589958159,0.606694560669456,15.933333333333334,61.36,easy
9,4.776978417266187,0.7697841726618705,15.444444444444445,68.4,easy
10,4.588235294117647,0.7124183006535948,12.75,81.43,easy
11,4.846153846153846,0.6433566433566433,19.066666666666666,66.27,easy
12,4.443946188340807,0.7130044843049327,15.928571428571429,69.62,easy
13,5.0,0.8333333333333334,10.0,73.37,easy
14,4.903225806451613,0.6967741935483871,15.5,60.35,easy
15,4.733333333333333,0.6256410256410256,19.5,66.47,easy
16,5.002840909090909,0.6505681818181818,22.0,54.66,easy
17,5.121546961325967,0.7624309392265194,13.923076923076923,71.95,easy
18,4.8061674008810575,0.7224669603524229,17.46153846153846,67.59,easy
19,4.703488372093023,0.5552325581395349,19.11111111111111,59.74,easy
20,4.576271186440678,0.8305084745762712,9.833333333333334,73.68,easy
21,4.5874439461883405,0.6412556053811659,17.153846153846153,76.45,easy
22,4.8812785388127855,0.5707762557077626,24.333333333333332,61.9,easy
23,4.4678362573099415,0.6842105263157895,17.1,75.24,easy
24,4.9478737997256514,0.5363511659807956,24.3,53.55,easy
25,5.106741573033708,0.7303370786516854,16.181818181818183,59.94,easy
26,4.46039603960396,0.6386138613861386,20.2,71.38,easy
27,5.6299212598425195,0.7952755905511811,12.7,55.44,easy
28,5.025287356321839,0.6183908045977011,17.4,60.95,easy
29,5.026315789473684,0.868421052631579,12.666666666666666,69.31,easy
30,4.795328142380423,0.5239154616240267,19.977777777777778,68.7,easy
31,4.611208406304729,0.5954465849387041,18.419354838709676,69.82,easy
32,5.106481481481482,0.5138888888888888,19.2,62.17,easy
33,4.83030303030303,0.7515151515151515,16.5,67.59,easy
34,5.0,0.7009345794392523,17.833333333333332,58.32,easy
35,4.644444444444445,0.8333333333333334,11.25,81.83,easy
36,4.535269709543568,0.6348547717842323,20.083333333333332,72.5,easy
37,5.714285714285714,0.6233766233766234,19.25,41.8,easy
38,4.987179487179487,0.7564102564102564,13.0,68.81,easy
39,5.001919385796545,0.5508637236084453,22.652173913043477,54.86,easy
40,4.695121951219512,0.5457317073170732,23.428571428571427,60.69,easy
41,5.132829373650108,0.5151187904967602,25.72222222222222,43.97,easy
42,4.724137931034483,0.8275862068965517,11.6,77.57,easy
43,4.866666666666666,1.0,7.5,65.22,easy
44,4.778656126482214,0.5507246376811594,21.083333333333332,65.76,easy
45,5.2,0.9,8.0,58.28,easy
46,4.5880829015544045,0.6502590673575129,20.31578947368421,65.46,easy
47,4.954230235783633,0.3564493758668516,9.243589743589743,77.94,easy
48,4.592964824120603,0.6633165829145728,19.9,63.43,easy
49,4.936936936936937,0.6576576576576577,13.875,67.99,easy
50,4.697624190064795,0.6285097192224622,17.807692307692307,72.26,easy
51,5.265625,0.921875,12.8,50.16,easy
